_id,review_scores_value,RatingPrediccion_scaled
10047964.0,10.0,10.0
10133554.0,9.0,7.5
10115921.0,7.0,5.0
10092679.0,10.0,8.75
1038163.0,9.0,7.5
10486984.0,9.0,8.75
1058555.0,9.0,7.5
11409841.0,10.0,8.75
1074008.0,9.0,0.0
10782351.0,10.0,8.75
11144250.0,9.0,8.75
10985735.0,9.0,7.5
10742116.0,8.0,10.0
11488558.0,10.0,6.25
11796483.0,8.0,2.5
1182475.0,9.0,7.5
12220612.0,9.0,6.25
12097507.0,9.0,8.75
1215226.0,8.0,5.0
12288463.0,9.0,10.0
12247516.0,9.0,10.0
12896435.0,9.0,2.5
12857841.0,9.0,9.25
13112091.0,9.0,10.0
13272687.0,10.0,10.0
13164714.0,9.0,8.75
13696235.0,9.0,8.75
13827870.0,10.0,8.75
1413677.0,10.0,10.0
14173253.0,9.0,4.58
14146422.0,10.0,7.5
14172532.0,9.0,7.5
14294961.0,9.0,6.25
14385513.0,10.0,7.5
14360913.0,10.0,8.75
1476508.0,10.0,7.5
1503655.0,10.0,9.17
15417267.0,9.0,3.75
1550449.0,9.0,7.08
1560753.0,10.0,8.75
15824730.0,10.0,8.75
15963882.0,6.0,5.0
16060640.0,10.0,0.0
1635900.0,10.0,8.75
16155960.0,10.0,1.67
16214034.0,9.0,7.5
16241397.0,9.0,3.75
1676806.0,10.0,8.75
1685970.0,10.0,6.25
18157368.0,10.0,10.0
18137446.0,10.0,5.67
17827642.0,9.0,7.5
17897640.0,10.0,7.5
18954080.0,10.0,0.0
191079.0,9.0,8.75
19244141.0,10.0,8.75
19441009.0,5.0,0.0
19559597.0,9.0,6.94
19585860.0,10.0,7.5
19800005.0,10.0,8.75
2023934.0,8.0,6.25
20275415.0,10.0,10.0
2073897.0,10.0,10.0
20755043.0,10.0,8.75
21174788.0,9.0,5.42
21061587.0,10.0,3.12
20792560.0,9.0,7.5
21155900.0,7.0,3.12
20672298.0,9.0,8.75
2118641.0,9.0,8.75
20701559.0,10.0,8.75
21497042.0,10.0,8.75
2133967.0,10.0,10.0
21493665.0,10.0,9.0
21382912.0,7.0,7.5
21816095.0,6.0,6.25
21654414.0,9.0,7.71
21954331.0,10.0,5.0
21686582.0,10.0,9.17
22339946.0,8.0,7.5
22624198.0,9.0,8.75
23219274.0,10.0,7.5
22792908.0,10.0,10.0
23177595.0,10.0,8.75
23210868.0,9.0,10.0
2338855.0,9.0,1.25
23440490.0,10.0,6.25
23298687.0,8.0,4.58
23482784.0,10.0,6.25
23788201.0,10.0,6.25
24492886.0,7.0,5.0
25134372.0,10.0,3.75
25069056.0,8.0,2.5
24418052.0,10.0,9.38
24296834.0,9.0,8.75
25241699.0,10.0,8.75
24298167.0,10.0,7.64
25104214.0,6.0,2.5
25082056.0,10.0,10.0
251414.0,10.0,8.75
24845400.0,10.0,8.75
24527330.0,10.0,5.0
24755982.0,10.0,10.0
24960259.0,9.0,6.25
25239252.0,10.0,8.75
2432138.0,9.0,8.75
25248977.0,10.0,10.0
24652972.0,9.0,6.88
25277573.0,8.0,6.25
2538085.0,10.0,8.75
25570581.0,7.0,4.0
25541515.0,10.0,8.75
25484862.0,9.0,10.0
25723457.0,10.0,8.75
25845370.0,10.0,5.0
25829784.0,9.0,7.5
25819967.0,10.0,5.62
25881010.0,10.0,7.5
25794804.0,10.0,10.0
25865052.0,9.0,10.0
25956760.0,10.0,0.0
26060837.0,9.0,7.5
26885396.0,9.0,7.5
26925918.0,8.0,7.5
27452326.0,2.0,1.25
27003273.0,7.0,6.25
26701226.0,9.0,8.75
26842020.0,10.0,2.5
26712529.0,10.0,7.92
26342532.0,9.0,10.0
26405954.0,9.0,8.75
27383511.0,6.0,10.0
26669415.0,8.0,5.0
26789870.0,10.0,8.75
27226157.0,10.0,3.75
2682827.0,9.0,8.75
27156997.0,10.0,8.75
2724572.0,9.0,8.75
27156355.0,9.0,7.36
28106504.0,10.0,10.0
28153529.0,10.0,10.0
28603723.0,10.0,8.12
28997335.0,8.0,10.0
28307606.0,10.0,9.06
290608.0,10.0,7.5
29274583.0,10.0,8.75
27675306.0,9.0,7.97
27942191.0,10.0,6.25
29354797.0,10.0,8.75
27569464.0,8.0,1.25
28252566.0,9.0,7.5
28475232.0,8.0,8.75
29673222.0,10.0,7.5
28881505.0,9.0,5.0
29249672.0,9.0,9.06
28066479.0,10.0,8.75
29144682.0,10.0,10.0
27794194.0,10.0,8.12
28911645.0,10.0,8.75
29358615.0,10.0,10.0
29432887.0,8.0,7.5
29562736.0,10.0,8.75
