_id,review_scores_value,RatingPrediccion_scaled
10051164.0,8.0,6.66667
10038496.0,10.0,10.0
10228731.0,10.0,8.88889
10267144.0,10.0,10.0
10299095.0,8.0,0.0
10264100.0,10.0,9.16667
10201975.0,9.0,8.88889
10383490.0,10.0,10.0
10381879.0,10.0,8.47222
10411341.0,9.0,3.33333
10415637.0,10.0,5.555560000000001
10519173.0,9.0,8.88889
10570041.0,9.0,8.88889
1063491.0,9.0,10.0
10635276.0,10.0,8.88889
10648267.0,10.0,10.0
11406680.0,9.0,10.0
10908640.0,9.0,8.33333
11131495.0,10.0,10.0
11459525.0,10.0,10.0
11197217.0,8.0,10.0
10706900.0,9.0,3.33333
11840338.0,10.0,8.88889
11679012.0,10.0,10.0
11860047.0,10.0,9.44444
1163119.0,9.0,8.88889
11716047.0,10.0,5.555560000000001
11695437.0,10.0,10.0
11740322.0,10.0,10.0
11890476.0,10.0,6.66667
11945972.0,10.0,10.0
11939367.0,10.0,10.0
12004365.0,9.0,9.77778
12088301.0,10.0,10.0
12181533.0,9.0,9.44444
12253016.0,8.0,8.88889
12290090.0,8.0,9.77778
12355178.0,8.0,9.62963
12234922.0,10.0,10.0
1255979.0,9.0,8.88889
11921637.0,9.0,8.88889
125656.0,10.0,8.88889
11948645.0,9.0,8.62963
12354373.0,10.0,10.0
12091894.0,9.0,10.0
12403784.0,8.0,10.0
1264811.0,9.0,10.0
12657285.0,10.0,8.66667
12591225.0,10.0,10.0
1273526.0,8.0,8.88889
1284892.0,10.0,8.88889
12639342.0,9.0,10.0
12651199.0,10.0,10.0
12761564.0,10.0,10.0
1304552.0,9.0,10.0
1310141.0,9.0,8.88889
13304991.0,10.0,10.0
13324467.0,9.0,10.0
13361526.0,9.0,10.0
13411324.0,10.0,10.0
13344796.0,10.0,10.0
13373114.0,8.0,10.0
13366855.0,9.0,8.88889
13390320.0,9.0,10.0
13444131.0,10.0,10.0
13491812.0,8.0,10.0
13525014.0,9.0,8.78788
13489279.0,10.0,7.03704
13585970.0,10.0,5.555560000000001
13739484.0,9.0,9.25926
13810527.0,9.0,8.88889
13937802.0,10.0,8.74644
13940779.0,9.0,1.11111
13906039.0,10.0,7.55556
1408997.0,9.0,10.0
13949781.0,9.0,10.0
1410460.0,9.0,10.0
1427233.0,9.0,10.0
14253379.0,8.0,9.44444
14295981.0,10.0,8.88889
14741201.0,9.0,8.51852
14439217.0,10.0,6.66667
14728150.0,10.0,9.72222
14522482.0,9.0,3.33333
14744918.0,9.0,7.53968
14992196.0,9.0,8.88889
14968004.0,8.0,8.44444
15015363.0,9.0,9.15344
15113580.0,10.0,10.0
14996051.0,10.0,1.11111
15073600.0,9.0,10.0
14960783.0,10.0,8.33333
15097549.0,10.0,9.53704
15126808.0,9.0,8.88889
15207920.0,10.0,10.0
15248025.0,10.0,7.03704
15177216.0,10.0,10.0
15058677.0,9.0,9.68254
15158785.0,8.0,5.0
1530241.0,8.0,10.0
15603491.0,10.0,10.0
1574416.0,10.0,10.0
15731780.0,10.0,10.0
1593570.0,9.0,10.0
16112187.0,9.0,10.0
16336615.0,10.0,10.0
1637159.0,10.0,10.0
1661373.0,8.0,4.44444
16765282.0,10.0,9.44444
16686102.0,10.0,6.66667
1677735.0,8.0,2.22222
17124591.0,10.0,10.0
17164830.0,9.0,10.0
17230426.0,10.0,5.555560000000001
17149906.0,9.0,7.03704
17254547.0,10.0,1.11111
17584991.0,10.0,10.0
17494671.0,10.0,10.0
1760846.0,10.0,10.0
17809459.0,10.0,10.0
1844578.0,9.0,10.0
18386381.0,10.0,8.88889
18134491.0,8.0,8.88889
1821758.0,9.0,10.0
17693637.0,10.0,10.0
182139.0,10.0,10.0
1797689.0,10.0,10.0
18042541.0,10.0,10.0
17864201.0,10.0,10.0
17865057.0,9.0,5.83333
17670314.0,10.0,10.0
19018752.0,10.0,9.62963
1912695.0,8.0,10.0
1925045.0,10.0,8.88889
1940174.0,10.0,10.0
20116519.0,10.0,10.0
20354056.0,10.0,10.0
20357635.0,9.0,10.0
20597925.0,10.0,8.88889
20570876.0,6.0,10.0
20599393.0,10.0,5.555560000000001
2092831.0,10.0,10.0
2105881.0,9.0,10.0
20666508.0,9.0,10.0
20693549.0,7.0,7.77778
20969380.0,8.0,10.0
21053564.0,8.0,9.44444
2113927.0,9.0,7.40741
20643726.0,10.0,10.0
20845825.0,8.0,8.88889
21059755.0,10.0,9.66184
2085520.0,9.0,8.64734
2116352.0,10.0,8.88889
21201643.0,9.0,10.0
2119162.0,9.0,6.66667
2123266.0,9.0,10.0
21237763.0,10.0,10.0
2213067.0,10.0,10.0
21836642.0,9.0,9.62963
2163225.0,9.0,9.11111
22058660.0,9.0,9.72222
2187573.0,10.0,10.0
22384305.0,9.0,9.40741
2263327.0,10.0,10.0
22266125.0,10.0,7.87879
22232299.0,10.0,9.28105
223200.0,9.0,8.88889
22548261.0,10.0,8.61111
22420791.0,10.0,8.42105
22920564.0,9.0,10.0
23058133.0,10.0,8.88889
2274454.0,9.0,1.11111
2296225.0,10.0,10.0
22672234.0,9.0,6.944439999999999
22950622.0,9.0,8.96825
22773037.0,10.0,7.77778
2298271.0,8.0,5.555560000000001
2301710.0,8.0,8.25397
23085006.0,9.0,5.74074
2324694.0,10.0,8.88889
2314585.0,9.0,10.0
2283492.0,10.0,10.0
23341918.0,9.0,7.74194
2351455.0,10.0,10.0
23483491.0,10.0,10.0
23486555.0,9.0,7.22222
23300444.0,9.0,3.33333
23832922.0,10.0,10.0
23572358.0,6.0,2.22222
23769793.0,10.0,8.88889
23606639.0,9.0,8.311110000000001
24955954.0,10.0,3.33333
2422745.0,10.0,3.33333
2464745.0,9.0,10.0
25189566.0,10.0,10.0
24182390.0,9.0,8.78788
2515976.0,9.0,10.0
25183276.0,10.0,9.44444
24717812.0,10.0,10.0
24186376.0,10.0,9.44444
25377740.0,10.0,10.0
25513422.0,9.0,8.88889
2569326.0,8.0,10.0
25780094.0,6.0,6.66667
