_id,review_scores_value,RatingPrediccion_scaled
10051164.0,8.0,3.75
10038496.0,10.0,8.75
10228731.0,10.0,8.75
10267144.0,10.0,8.75
10299095.0,8.0,0.0
10264100.0,10.0,7.97
10201975.0,9.0,8.75
10383490.0,10.0,10.0
10381879.0,10.0,7.03
10411341.0,9.0,2.5
10415637.0,10.0,1.25
10519173.0,9.0,6.25
10570041.0,9.0,8.75
1063491.0,9.0,8.75
10635276.0,10.0,6.25
10648267.0,10.0,0.0
11406680.0,9.0,7.62
10908640.0,9.0,8.12
11131495.0,10.0,0.0
11459525.0,10.0,7.19
11197217.0,8.0,8.75
10706900.0,9.0,1.25
11840338.0,10.0,6.25
11679012.0,10.0,10.0
11860047.0,10.0,4.38
1163119.0,9.0,8.75
11716047.0,10.0,4.38
11695437.0,10.0,8.75
11740322.0,10.0,10.0
11890476.0,10.0,8.75
11945972.0,10.0,10.0
11939367.0,10.0,8.75
12004365.0,9.0,8.25
12088301.0,10.0,10.0
12181533.0,9.0,8.75
12253016.0,8.0,8.75
12290090.0,8.0,8.5
12355178.0,8.0,8.75
12234922.0,10.0,5.0
1255979.0,9.0,6.25
11921637.0,9.0,8.75
125656.0,10.0,8.75
11948645.0,9.0,6.71
12354373.0,10.0,8.75
12091894.0,9.0,8.75
12403784.0,8.0,10.0
1264811.0,9.0,8.75
12657285.0,10.0,7.75
12591225.0,10.0,10.0
1273526.0,8.0,6.25
1284892.0,10.0,8.75
12639342.0,9.0,0.0
12651199.0,10.0,10.0
12761564.0,10.0,10.0
1304552.0,9.0,8.75
1310141.0,9.0,8.75
13304991.0,10.0,6.25
13324467.0,9.0,8.75
13361526.0,9.0,9.25
13411324.0,10.0,8.75
13344796.0,10.0,8.75
13373114.0,8.0,8.75
13366855.0,9.0,7.5
13390320.0,9.0,0.0
13444131.0,10.0,10.0
13491812.0,8.0,7.5
13525014.0,9.0,7.56
13489279.0,10.0,3.12
13585970.0,10.0,0.0
13739484.0,9.0,7.08
13810527.0,9.0,6.25
13937802.0,10.0,6.6
13940779.0,9.0,0.0
13906039.0,10.0,5.75
1408997.0,9.0,0.0
13949781.0,9.0,9.38
1410460.0,9.0,8.75
1427233.0,9.0,10.0
14253379.0,8.0,8.75
14295981.0,10.0,8.75
14741201.0,9.0,7.92
14439217.0,10.0,5.42
14728150.0,10.0,6.25
14522482.0,9.0,3.75
14744918.0,9.0,6.43
14992196.0,9.0,6.25
14968004.0,8.0,5.25
15015363.0,9.0,7.32
15113580.0,10.0,8.75
14996051.0,10.0,0.0
15073600.0,9.0,7.92
14960783.0,10.0,7.19
15097549.0,10.0,8.02
15126808.0,9.0,6.25
15207920.0,10.0,4.38
15248025.0,10.0,6.04
15177216.0,10.0,6.25
15058677.0,9.0,9.29
15158785.0,8.0,3.12
1530241.0,8.0,8.75
15603491.0,10.0,8.75
1574416.0,10.0,6.25
15731780.0,10.0,0.0
1593570.0,9.0,10.0
16112187.0,9.0,10.0
16336615.0,10.0,8.75
1637159.0,10.0,10.0
1661373.0,8.0,6.25
16765282.0,10.0,7.5
16686102.0,10.0,5.83
1677735.0,8.0,1.25
17124591.0,10.0,10.0
17164830.0,9.0,8.75
17230426.0,10.0,4.38
17149906.0,9.0,6.67
17254547.0,10.0,0.0
17584991.0,10.0,0.0
17494671.0,10.0,8.75
1760846.0,10.0,8.75
17809459.0,10.0,8.75
1844578.0,9.0,8.75
18386381.0,10.0,6.25
18134491.0,8.0,6.25
1821758.0,9.0,8.75
17693637.0,10.0,10.0
182139.0,10.0,10.0
1797689.0,10.0,0.0
18042541.0,10.0,0.0
17864201.0,10.0,0.0
17865057.0,9.0,5.62
17670314.0,10.0,8.0
19018752.0,10.0,5.42
1912695.0,8.0,8.75
1925045.0,10.0,8.75
1940174.0,10.0,8.75
20116519.0,10.0,8.75
20354056.0,10.0,10.0
20357635.0,9.0,10.0
20597925.0,10.0,6.25
20570876.0,6.0,10.0
20599393.0,10.0,2.5
2092831.0,10.0,8.75
2105881.0,9.0,8.75
20666508.0,9.0,8.75
20693549.0,7.0,8.12
20969380.0,8.0,8.75
21053564.0,8.0,9.38
2113927.0,9.0,5.0
20643726.0,10.0,9.17
20845825.0,8.0,6.25
21059755.0,10.0,7.99
2085520.0,9.0,7.64
2116352.0,10.0,6.25
21201643.0,9.0,10.0
2119162.0,9.0,6.25
2123266.0,9.0,3.33
21237763.0,10.0,8.75
2213067.0,10.0,8.75
21836642.0,9.0,7.92
2163225.0,9.0,7.38
22058660.0,9.0,9.38
2187573.0,10.0,10.0
22384305.0,9.0,7.83
2263327.0,10.0,8.75
22266125.0,10.0,6.48
22232299.0,10.0,7.72
223200.0,9.0,6.25
22548261.0,10.0,8.75
22420791.0,10.0,7.7
22920564.0,9.0,8.75
23058133.0,10.0,8.0
2274454.0,9.0,0.0
2296225.0,10.0,10.0
22672234.0,9.0,6.88
22950622.0,9.0,8.84
22773037.0,10.0,7.88
2298271.0,8.0,6.25
2301710.0,8.0,5.71
23085006.0,9.0,3.33
2324694.0,10.0,8.75
2314585.0,9.0,8.75
2283492.0,10.0,9.38
23341918.0,9.0,6.9
2351455.0,10.0,8.75
23483491.0,10.0,6.25
23486555.0,9.0,5.31
23300444.0,9.0,3.75
23832922.0,10.0,9.38
23572358.0,6.0,1.25
23769793.0,10.0,6.25
23606639.0,9.0,6.45
24955954.0,10.0,2.5
2422745.0,10.0,1.25
2464745.0,9.0,8.75
25189566.0,10.0,10.0
24182390.0,9.0,6.82
2515976.0,9.0,6.25
25183276.0,10.0,4.38
24717812.0,10.0,8.75
24186376.0,10.0,9.38
25377740.0,10.0,10.0
25513422.0,9.0,8.75
2569326.0,8.0,8.75
25780094.0,6.0,6.25
25911135.0,10.0,5.71
26199936.0,10.0,7.25
26110157.0,10.0,6.88
26463049.0,9.0,8.44
2683147.0,10.0,8.75
2681380.0,9.0,8.75
26607708.0,6.0,1.25
26816279.0,9.0,5.62
27012681.0,10.0,8.33
2686100.0,10.0,8.75
26427671.0,10.0,8.75
27568440.0,8.0,10.0
297908.0,9.0,8.75
2875373.0,10.0,0.0
2858519.0,8.0,6.67
29856236.0,8.0,6.25
27573376.0,10.0,7.19
296910.0,9.0,8.75
2889440.0,9.0,9.06
29764623.0,10.0,8.75
2851471.0,10.0,6.25
2949309.0,9.0,10.0
2769600.0,8.0,8.75
2993875.0,10.0,6.25
30171277.0,10.0,7.19
30537041.0,10.0,8.75
30083901.0,10.0,7.5
30032152.0,8.0,9.38
30092212.0,10.0,0.0
30531901.0,10.0,4.38
30561422.0,8.0,0.0
3040870.0,10.0,6.25
3013098.0,9.0,8.75
30756696.0,8.0,8.75
31670584.0,10.0,8.75
3190976.0,9.0,8.75
3113661.0,10.0,9.17
31506064.0,6.0,3.12
316355.0,8.0,8.75
31123905.0,10.0,10.0
3208863.0,9.0,10.0
3147146.0,9.0,10.0
313223.0,9.0,8.75
3155979.0,9.0,8.75
310233.0,10.0,6.25
31058753.0,10.0,10.0
3173305.0,10.0,10.0
3114202.0,10.0,8.0
31099467.0,2.0,1.25
3220673.0,10.0,8.75
323213.0,10.0,0.0
3210248.0,9.0,8.04
332150.0,10.0,8.75
336569.0,9.0,8.75
3448897.0,9.0,8.75
3374964.0,9.0,7.39
3427741.0,8.0,7.19
349618.0,9.0,8.75
3800450.0,9.0,8.75
3654407.0,10.0,7.5
3971325.0,9.0,8.75
369336.0,9.0,8.75
4074453.0,10.0,8.75
4382487.0,9.0,8.75
4761793.0,9.0,5.0
4974771.0,10.0,8.75
4838721.0,10.0,7.92
490098.0,10.0,8.75
564564.0,9.0,7.5
486337.0,8.0,7.5
4790136.0,10.0,8.75
4924343.0,9.0,6.04
4798749.0,10.0,8.54
573086.0,9.0,8.75
4621190.0,10.0,0.0
4467174.0,10.0,6.25
5018276.0,10.0,8.75
4591790.0,7.0,5.31
484267.0,10.0,10.0
4987188.0,9.0,0.0
5093778.0,10.0,10.0
4773338.0,8.0,6.25
4875052.0,9.0,1.25
4902451.0,9.0,3.12
4776811.0,10.0,8.75
4798216.0,9.0,8.75
48305.0,8.0,3.75
5192553.0,9.0,7.19
4964534.0,10.0,8.75
5814254.0,9.0,8.75
5554583.0,10.0,8.75
6314480.0,9.0,7.5
6612354.0,9.0,6.25
6666674.0,10.0,6.25
6778993.0,9.0,6.25
690895.0,10.0,8.75
6922924.0,10.0,8.75
746187.0,9.0,8.75
7970000.0,7.0,6.25
7841907.0,9.0,8.75
8043869.0,10.0,8.75
808744.0,10.0,10.0
846689.0,10.0,8.75
8710268.0,10.0,8.75
880678.0,9.0,8.75
878307.0,9.0,7.5
8980230.0,10.0,7.5
8905515.0,10.0,7.6
8942282.0,10.0,10.0
9195855.0,9.0,5.25
9172046.0,9.0,10.0
9200371.0,9.0,9.38
9504767.0,10.0,10.0
9347161.0,10.0,4.38
9369576.0,8.0,8.75
9296889.0,10.0,10.0
9258101.0,10.0,8.75
9667647.0,10.0,8.75
9895628.0,10.0,10.0
9643051.0,10.0,2.5
9951865.0,10.0,8.75
9987200.0,9.0,7.5
9686887.0,10.0,7.92
9590078.0,9.0,7.0
9853331.0,10.0,0.0
9614181.0,7.0,8.75
9744478.0,9.0,8.75
9795621.0,10.0,7.38
9834391.0,10.0,0.0
,MSE,12.788870240282582
