apartment_id,fecha,Review,RatingPrediccion
10047964,2016-04-02T04:00:00Z,"Zeynep was a most welcoming and generous host, with a gorgeous, comfortable flat - as advertised! The flat is light and spacious, kitchen well-equipped, bed comfortable (both beds actually), and bathroom clean, with great shower pressure. Zeynep prepared a note with key information about the flat, which was great to have for reference. I especially appreciated the ground coffee and coffee maker. The fact that there was a desk in the house made my stay all the more comfortable - I had a proper place to sit down at my computer.\r\n\r\nIt",1
10133554,2018-05-07T04:00:00Z,"Location is wonderful, especially for a first-timer in Istanbul. I went with my boyfriend who had been to the city before, and my first visit was fantastic in the area of Mehmit",6
10115921,2016-02-01T05:00:00Z,"This place and the service has a lot of potential but certainly has not reached its prime yet. Ahmet was very quick to respond and approve my reservation which is great. He was also very responsive to additional questions. The residence service at the counter was also good and the blokes were helpful. The apartment is clean and spacious, although it could do with a couple of extra basic necessities particularly in the kitchen. 

However, two main things made this experience rather average instead of great.
- I reserved a flat with TWO bedrooms and only got one. I complained and they relocated me to a bigger apartment with two separate beds, but still ONE bedroom.  Upon booking make sure to confirm its two bedrooms you sign up to.

- Saturday seemed to be national construction day which meant 8am rise and shine. sunday there was activity too although less loud. Normally not a problem but not great when you experienced some of the Istanbul night life the night before. A notice about this at least would have been great",6
10115921,2016-04-09T04:00:00Z,"The location is just perfect. You can find everything in the neighborhood such as restaurants, supermarket, exchange, shops....etc.
The lobby of the hotel is small.
I stayed in the two bedroom apt.
Unfortunately, the second room has the bathroom while the master bedroom has none. You have to use the one in the living room.
Some of the staff in the Hotel are very very helpful like Mustafa and some are friendly like Mohamed",6
10115921,2017-08-07T04:00:00Z,They have to check the type of apartment,2
10092679,2018-12-21T05:00:00Z,"My warmest recomandations! Great flat with cool objects and a nice homey feel. Ali was a superb host, very helpful and good at English. Super pleasant and interesting company. The flat is quite and has fast WiFi. 24/7 shop around the corner. Easy to get to Taksim by bus or foot. All the best to u my friend, and thanks",8
10354347,2017-12-27T05:00:00Z,The host canceled this reservation 4 days before arrival. This is an automated posting,1
1038163,2019-02-04T05:00:00Z,Great apartment. It was about 200m from Istiklal Caddesi. Everything was absolutely fantastic,8
10486984,2019-02-10T05:00:00Z,"The best place to stay in Istanbul. The place is really near to Taksim Square. Once you get out from the house, you can just walk up around 5 minutes. Then, you will be at the Istiklal Street and it just 5 minutes walk to get to Taksim Square. Also, it is so nearby to Galata Tower too. It is easy to connect with public transportation as the metro station is just nearby. This place is also nearby to the Istiklal Street. The famous shopping street in Istanbul. So, I highly recommend this place to anyone out there when you want to visit Istanbul. Aybike is a very good host. She offered me a help if i had left something in Bursa. Well that was a really over the top of attitude. What an amazing person she is",8
1058555,2018-12-23T05:00:00Z,"Nihat is very attentive, a good advisor; he knows the city very well and guides you to any place. The accommodation is ideal for those who want to save money",6
11409841,2019-02-07T05:00:00Z,The place is literally great! Its located next to Blue Mosque and everything else very close to the apartment. Room looks exactly how its on the picture. Id love to visit Istanbul and definitely will choose the same place to stay,8
1074008,2015-06-30T04:00:00Z,The host canceled this reservation 107 days before arrival. This is an automated posting,1
10782351,2017-11-24T05:00:00Z,Location is great- very Central but tucked in a quiet street. Very attentive staff. Very clean and comfortable,8
11144250,2018-08-26T04:00:00Z,Eser was great. Communicated well and kept us informed also helpful with local information and tips. Nice apartment. well located on a lovely island,8
10985735,2016-09-10T04:00:00Z,"Sanem is very attentive and helpful. Finding the place was a bit difficult. But the house and garden are amazing, the location very nice and the island really lovely and relaxing. All in all highly recommended",8
10742116,2019-01-02T05:00:00Z,We rented this place to be closer to family and downtown Nisanrasi. It was an amazing spot very convenient. Clean and new apartment. Highligh suggested,8
11488558,2017-05-09T04:00:00Z,"Since it was my first time to use Airbnb, being Aylin",1
11796483,2018-04-09T04:00:00Z,The host was quite rude,2
1182475,2019-02-02T05:00:00Z,"It’s a clean apartment in a central location. However, Nurhan is very helpful and accommodating",8
12220612,2019-01-10T05:00:00Z,"Check-in is very easy as the house is located behind the restaurant/bar where Zenka works and waiters are there to help. Nevertheless, you do have your privacy. The apartment is located on the top floor (attic) room of a house. Tall people should not stay here as the ceiling is very low. The accommodation is basic with one main space with a television, small couch, and sink with a portable electric stove-top and kettle. There could be more pots and pans. Adjoining this room are two bedrooms each with two mattresses which, pushed together, make a double bed. The restaurant/ pub could be a little noisy on Friday and Saturday nights, but it didn",8
12097507,2019-01-30T05:00:00Z,It was a perfect place it is a very clean and lovely,6
1215226,2019-01-29T05:00:00Z,Good apartment,5
12288463,2019-02-09T05:00:00Z,"Highly recommend, fantastic location, superb apartment. Decor was charming and Ayse went above and beyond our expectations! Book quickly",8
12247516,2019-02-10T05:00:00Z,"Amazing! :) In a perfect location, super clean and accommodating. Beds, pillow and blankets are comforting. Handan is a really communicative and quickly satisfied all our needs. Would recommend everyone to stay in this stylish flat",1
12896435,2018-11-04T04:00:00Z,"De l'appartement, l'emplacement est vraiment mauvais, loin de tout. La propreté était loin d'être impeccable, il y avait des toiles d'araignée et de la poussière partout. Il n'y avait aucune intimité, le voisin était très bruyant et on entendait tout. Le propriétaire était distant et peu réactif",3
