apartment_id,fecha_review,Review,RatingPrediccion
10115921,2016-02-01T05:00:00Z,place service lot potential certainly reached prime yet ahmet quick respond approve reservation great also responsive additional question residence service counter also good bloke helpful apartment clean spacious although could couple extra basic necessity particularly kitchen however two main thing made experience rather average instead great reserved flat two bedroom got one complained relocated bigger apartment two separate bed still one bedroom upon booking make sure confirm two bedroom sign saturday seemed national construction day meant rise shine sunday activity although le loud normally problem great experienced istanbul night life night notice least would great,5.86
10115921,2016-04-09T04:00:00Z,location perfect find everything neighborhood restaurant supermarket exchange shopsetc lobby hotel small stayed two bedroom apt unfortunately second room bathroom master bedroom none use one living room staff hotel helpful like mustafa friendly like mohamed,8.47
10115921,2017-08-07T04:00:00Z,check type apartment,4.94
10354347,2017-12-27T05:00:00Z,host canceled reservation day arrival automated posting,2.25
10782351,2017-11-24T05:00:00Z,location great central tucked quiet street attentive staff clean comfortable,9.38
11796483,2018-04-09T04:00:00Z,host quite rude,1.65
12857841,2017-09-26T04:00:00Z,rented apartment one knock istanbul apartment completely corresponds photo location excellent sakm center blue mosque hagia sophia grand bazaar within walking distance owner friendly speaks english little russian apartment quite spacious accommodated people,2.83
12857841,2018-03-02T05:00:00Z,,4.91
12857841,2018-03-12T04:00:00Z,ali ramazan attentive hospitable host apartment welllocated comfortable made experience best many thanks,9.21
12857841,2018-03-26T04:00:00Z,amazing experience stay istanbul place exceptionally clean spacious ramazan assistance ali helpful,7.63
12857841,2018-04-08T04:00:00Z,ramazan landlord quite man helpful apartment suitable family adult kid bathroom toilet enough space kitchen living dining room minute blue mosque metro station ramazan family restaurant close apartment opinion one best taste price thanks mr osman owner chef cook family delicious testi kebap tuzda balik make short beautiful memory stay mr ramazan apartment,5.77
12857841,2018-06-11T04:00:00Z,airbnb fully met expectation communication welcome excellent provided great help example getting taxi,7.78
14173253,2016-08-31T04:00:00Z,beautiful place hotel want feel like youre home wouldnt recommend service amenity provided like typical hotel,6.87
14173253,2018-08-18T04:00:00Z,orta st,5.1
14173253,2018-09-25T04:00:00Z,good hotel lovely view location decent accessing public transport housekeeping service need improvement,7.93
14146422,2018-07-31T04:00:00Z,aysem welcoming kind despite hectic arrival really enjoyed evening kadiky hope return soon,8.88
14385513,2019-01-30T05:00:00Z,heart moda district discreet host offer pleasant place flourish istanbul,4.32
14360913,2018-04-03T04:00:00Z,really good location min walk blue mosque hippodrome ismail really good host great kid helpful respect sightseeing tip get around room clean cozy fresh towel linen etc every day highly recommended,9.4
