apartment_id,Review,RatingPrediccion
10115921,"This place and the service has a lot of potential but certainly has not reached its prime yet. Ahmet was very quick to respond and approve my reservation which is great. He was also very responsive to additional questions. The residence service at the counter was also good and the blokes were helpful. The apartment is clean and spacious, although it could do with a couple of extra basic necessities particularly in the kitchen. 

However, two main things made this experience rather average instead of great.
- I reserved a flat with TWO bedrooms and only got one. I complained and they relocated me to a bigger apartment with two separate beds, but still ONE bedroom.  Upon booking make sure to confirm its two bedrooms you sign up to.

- Saturday seemed to be national construction day which meant 8am rise and shine. sunday there was activity too although less loud. Normally not a problem but not great when you experienced some of the Istanbul night life the night before. A notice about this at least would have been great.",2
10115921,"The location is just perfect. You can find everything in the neighborhood such as restaurants, supermarket, exchange, shops....etc.
The lobby of the hotel is small.
I stayed in the two bedroom apt.
Unfortunately, the second room has the bathroom while the master bedroom has none. You have to use the one in the living room.
Some of the staff in the Hotel are very very helpful like Mustafa and some are friendly like Mohamed.",3
10115921,They have to check the type of apartment,1
10354347,The host canceled this reservation 4 days before arrival. This is an automated posting.,5
10782351,Location is great- very Central but tucked in a quiet street. Very attentive staff. Very clean and comfortable.,5
11796483,The host was quite rude.,1
12857841,"       ,    ,     ,     ,     .   ,        .   ,    6 . We rented this apartment for one knock in Istanbul, the apartment completely corresponds to the photo, the location is excellent in the sakm center, the Blue Mosque, Hagia Sophia and the Grand Bazaar are within walking distance. The owner is very friendly, speaks English and a little Russian. The apartment is quite spacious, we accommodated 6 people there.",5
12857841,",,,",1
12857841,"Ali and Ramazan were very attentive and hospitable hosts, the apartment was very well-located, comfortable, and made our experience the best. Many thanks again!",5
12857841,We had amazing experience stay in Istanbul.  The place was exceptionally clean and spacious.  Both Ramazan and his assistance Ali were very helpful.,5
12857841,"Ramazan the landlord, is very quite man but  he is very helpful. His apartment is suitable for my family (7 adult+3 kids) with 2 bathroom + 2 toilets, enough space kitchen, living and dining room. 5 minutes to Blue mosque, metro station.
Ramazan family has a restaurant, close to apartment, in my opinion is one of the best for taste and price, Thanks to Mr Osman, owner and chef who cook for my family a delicious testi kebap and tuzda balik. 
To make is short we have a beautiful memory of stay in Mr Ramazan apartment",5
12857841,"This Airbnb fully met expectations. The communication and welcome were excellent, and they provided great help, for example, with getting a taxi.",5
14173253,"This is a beautiful place as a hotel, but if you want to feel like you're in your own home, I wouldn't recommend it. The service and amenities are not provided like a typical hotel.",5
14173253,orta st,5
14173253,"This is a very good hotel with a lovely view! The location is decent for accessing public transport, but the housekeeping service needs improvement.",3
14146422,"Aysem was very welcoming and kind, despite a very hectic arrival. I really enjoyed my evening with her in Kadiky and hope to return soon! ",5
14385513,"In the heart of the Moda district, a discreet host offers a pleasant place to flourish in Istanbul",5
14360913,"Really good location 5 mins walk from the Blue Mosque and hippodrome. Ismail was a really good host, great with kids, helpful in all respects from sightseeing to tips on how to get around. Room was clean and cozy. Fresh towels linen etc every day. Highly recommended.",5
1503655,"The apartment is as shown in the pictures, it is very clean and in a nice location. The host is superb! ",5
1503655,Pelins cosy apartment lies in a quiet street in a vivid part of Istanbul. It has all the amenities to make you feel at home. The bed was good. And the apartment was very clean. T1 to the airport is 5 min walk. Pelin is a wonderful host too.,5
1503655,"Comfy and charming apartment with 20+ foot high ceilings. The flat is in a great neighborhood. There are hip cafes and restaurants, and little markets all around, and a terrific bakery right across the street sells some of the best simit and other small breads in town. It is also easy to walk to the center of Cihangir, Karikoy, or Taxsim. Pelin is an attentive and helpful host. Great stay in my favorite Istanbul neighborhood!",5
1550449,"The district was very calm, and there were two supermarkets within a minute of walking which can provide whatever you lack. Arda was very kind and helpful, and the house has everything you may need during your accomodation. My only concern was the cat, but she ignores you unless you call her :)",3
1550449,I can perfectly describe it in one word: itâs a huge advantage that the house is very close to the main street and the beach.,4
1550449,A silent room near the Bosphorus. Aras very helpful person. Thank you Aras.,5
1560753,"Great place, near  Taksim Square, about 10 minutes from it by walking. Very polite, friendly and helpful host, we are impressed. Appartement is clean,big enough,with regular service. All in all-awesome! Thank you for everything. Regards from Marijana & eljko",5
15963882,The host canceled this reservation the day before arrival. This is an automated posting.,5
15963882,"This was a wonderfully magical place with a grand view, very quiet and relaxing on a fantastic island. Celal was a wonderful host who took great care of our well-being and recommended his favorite places and shopping locations. It was the best place weâve been on the Prince Islands so far.",5
16155960,The host canceled this reservation 11 days before arrival. This is an automated posting.,5
16155960,It was good.,4
16155960,The host canceled this reservation 5 days before arrival. This is an automated posting.,5
16241397,Please provide the review you want me to translate. I need the original text to perform the translation as you've described.,1
