_id,review_scores_value,RatingPrediccion_scaled
10051164,8.0,8.108242305147485
10038496,10.0,
10228731,10.0,10.0
10267144,10.0,
10299095,8.0,
10264100,10.0,9.459409135569693
10201975,9.0,
10383490,10.0,10.0
10381879,10.0,9.391757694852519
10411341,9.0,
10415637,10.0,
10519173,9.0,
10570041,9.0,
1063491,9.0,
10635276,10.0,
10648267,10.0,10.0
11406680,9.0,9.606845292601738
10908640,9.0,8.108242305147485
11131495,10.0,
11459525,10.0,8.91881827113939
11197217,8.0,10.0
10706900,9.0,
11840338,10.0,8.108242305147485
11679012,10.0,10.0
11860047,10.0,10.0
1163119,9.0,
11716047,10.0,8.783515389705034
11695437,10.0,
11740322,10.0,
11890476,10.0,
11945972,10.0,
11939367,10.0,
12004365,9.0,9.621648461029496
12088301,10.0,10.0
12181533,9.0,10.0
12253016,8.0,10.0
12290090,8.0,9.513406155882016
12355178,8.0,9.369416624059422
12234922,10.0,
1255979,9.0,
11921637,9.0,
125656,10.0,
11948645,9.0,8.169106454528478
12354373,10.0,10.0
12091894,9.0,
12403784,8.0,10.0
1264811,9.0,
12653230,10.0,
12657285,10.0,9.369416624059422
12591225,10.0,8.108242305147485
1273526,8.0,
1284892,10.0,
12639342,9.0,
12651199,10.0,
12761564,10.0,8.108242305147485
1304552,9.0,
1310141,9.0,
13304991,10.0,
13324467,9.0,
13361526,9.0,9.513406155882016
13411324,10.0,
13344796,10.0,7.567030779410069
13373114,8.0,10.0
13366855,9.0,10.0
13390320,9.0,
13444131,10.0,
13491812,8.0,
13525014,9.0,8.218608847426259
13489279,10.0,9.189011070793097
13585970,10.0,
13739484,9.0,8.738825681088063
13810527,9.0,
13937802,10.0,9.128351538970504
13940779,9.0,
13906039,10.0,8.000000000000002
1408997,9.0,
13949781,9.0,9.054121152573744
1410460,9.0,
1427233,9.0,
14253379,8.0,10.0
14295981,10.0,10.0
14741201,9.0,7.2972533759405795
14439217,10.0,7.2972533759405795
14728150,10.0,6.554121152573742
14683121,10.0,
14522482,9.0,
14744918,9.0,8.764361190565888
14992196,9.0,
14968004,8.0,7.891757694852517
15015363,9.0,9.09091
15113580,10.0,5.675273084557552
14996051,10.0,
15073600,9.0,10.0
14960783,10.0,8.614697118565648
15097549,10.0,9.009018480741771
15126808,9.0,
15207920,10.0,10.0
15248025,10.0,9.189011070793097
15177216,10.0,
15058677,9.0,8.918996683945817
15158785,8.0,6.62115193198381
1530241,8.0,
15603491,10.0,
1574416,10.0,
15731780,10.0,10.0
1588234,8.0,
1593570,9.0,
16036940,10.0,
16112187,9.0,
16336615,10.0,
1637159,10.0,8.108242305147485
1661373,8.0,
16765282,10.0,4.729394237131293
16686102,10.0,8.378019708616973
1677735,8.0,
17124591,10.0,
17164830,9.0,
17230426,10.0,8.783515389705034
17149906,9.0,6.847067986235547
17254547,10.0,
17584991,10.0,10.0
17494671,10.0,
1760846,10.0,
17809459,10.0,
1844578,9.0,
