_id,review_scores_value,RatingPrediccion_scaled
10051164,8.0,7.5
10038496,10.0,
10228731,10.0,10.0
10267144,10.0,
10299095,8.0,
10264100,10.0,9.6875
10201975,9.0,
10383490,10.0,7.5
10381879,10.0,10.0
10411341,9.0,
10415637,10.0,
10519173,9.0,
10570041,9.0,
1063491,9.0,
10635276,10.0,
10648267,10.0,10.0
11406680,9.0,9.772727272727272
10908640,9.0,7.5
11131495,10.0,
11459525,10.0,10.0
11197217,8.0,10.0
10706900,9.0,
11840338,10.0,7.5
11679012,10.0,10.0
11860047,10.0,10.0
1163119,9.0,
11716047,10.0,10.0
11695437,10.0,
11740322,10.0,
11890476,10.0,
11945972,10.0,
11939367,10.0,
12004365,9.0,9.5
12088301,10.0,10.0
12181533,9.0,10.0
12253016,8.0,10.0
12290090,8.0,10.0
12355178,8.0,9.166666666666668
12234922,10.0,
1255979,9.0,
11921637,9.0,
125656,10.0,
11948645,9.0,8.306451612903224
12354373,10.0,10.0
12091894,9.0,
12403784,8.0,10.0
1264811,9.0,
12653230,10.0,
12657285,10.0,9.166666666666668
12591225,10.0,7.5
1273526,8.0,
1284892,10.0,
12639342,9.0,
12651199,10.0,
12761564,10.0,7.5
1304552,9.0,
1310141,9.0,
13304991,10.0,
13324467,9.0,
13361526,9.0,10.0
13411324,10.0,
13344796,10.0,10.0
13373114,8.0,10.0
13366855,9.0,10.0
13390320,9.0,
13444131,10.0,
13491812,8.0,
13525014,9.0,8.181818181818182
13489279,10.0,10.0
13585970,10.0,
13739484,9.0,8.333333333333332
13810527,9.0,
13937802,10.0,9.1875
13940779,9.0,
13906039,10.0,8.0
1408997,9.0,
13949781,9.0,8.75
1410460,9.0,
1427233,9.0,
14253379,8.0,10.0
14295981,10.0,10.0
14741201,9.0,7.916666666666668
14439217,10.0,7.5
14728150,10.0,6.25
14683121,10.0,
14522482,9.0,
14744918,9.0,9.285714285714286
14992196,9.0,
14968004,8.0,8.5
15015363,9.0,9.659090909090908
15113580,10.0,7.5
14996051,10.0,
15073600,9.0,10.0
14960783,10.0,9.375
15097549,10.0,8.75
15126808,9.0,
15207920,10.0,10.0
15248025,10.0,10.0
15177216,10.0,
15058677,9.0,8.571428571428573
15158785,8.0,8.75
1530241,8.0,
15603491,10.0,
1574416,10.0,
15731780,10.0,10.0
1588234,8.0,
1593570,9.0,
16036940,10.0,
16112187,9.0,
16336615,10.0,
1637159,10.0,7.5
1661373,8.0,
16765282,10.0,8.75
16686102,10.0,10.0
1677735,8.0,
17124591,10.0,
17164830,9.0,
17230426,10.0,10.0
17149906,9.0,6.666666666666666
17254547,10.0,
17584991,10.0,10.0
17494671,10.0,
1760846,10.0,
17809459,10.0,
1844578,9.0,
18386381,10.0,10.0
18134491,8.0,
1821758,9.0,
17693637,10.0,
182139,10.0,
1797689,10.0,
18042541,10.0,
17864201,10.0,
17865057,9.0,6.25
17670314,10.0,10.0
19018752,10.0,9.166666666666668
1912695,8.0,
1925045,10.0,
1940174,10.0,
20116519,10.0,
20354056,10.0,
20357635,9.0,10.0
20597925,10.0,10.0
20570876,6.0,10.0
20599393,10.0,
2092831,10.0,
2105881,9.0,
20666508,9.0,10.0
20693549,7.0,3.75
20969380,8.0,10.0
21053564,8.0,10.0
2113927,9.0,6.666666666666666
20643726,10.0,10.0
20845825,8.0,
21059755,10.0,9.673913043478262
2085520,9.0,8.24468085106383
2116352,10.0,
21201643,9.0,
2119162,9.0,
2123266,9.0,10.0
21237763,10.0,10.0
2213067,10.0,
21836642,9.0,10.0
2163225,9.0,7.727272727272727
22058660,9.0,8.75
2187573,10.0,
22384305,9.0,9.166666666666668
2263327,10.0,
22266125,10.0,7.708333333333332
22232299,10.0,9.705882352941178
223200,9.0,
22548261,10.0,9.375
22420791,10.0,9.210526315789473
22920564,9.0,
23058133,10.0,8.5
2274454,9.0,
2296225,10.0,
22672234,9.0,9.375
22950622,9.0,8.571428571428573
22773037,10.0,9.166666666666668
2298271,8.0,
2301710,8.0,6.7857142857142865
23085006,9.0,10.0
2324694,10.0,
2314585,9.0,
2283492,10.0,8.75
23341918,9.0,7.214285714285714
2351455,10.0,10.0
23483491,10.0,10.0
23486555,9.0,8.75
23300444,9.0,
23832922,10.0,10.0
23572358,6.0,7.5
23769793,10.0,10.0
23606639,9.0,7.596153846153846
24955954,10.0,10.0
2422745,10.0,
2464745,9.0,
25189566,10.0,
24182390,9.0,9.479166666666668
2515976,9.0,
25183276,10.0,10.0
24717812,10.0,
24186376,10.0,10.0
25377740,10.0,10.0
25513422,9.0,
2569326,8.0,10.0
25780094,6.0,7.5
25911135,10.0,10.0
26199936,10.0,10.0
26110157,10.0,3.75
26463049,9.0,9.583333333333332
2683147,10.0,
2681380,9.0,
26607708,6.0,0.0
26816279,9.0,8.4375
27012681,10.0,10.0
