_id,review_scores_value,RatingPrediccion_scaled
10047964,10.0,
10133554,9.0,
10115921,7.0,2.5
10092679,10.0,
1038163,9.0,
10486984,9.0,
1058555,9.0,
11409841,10.0,
11007542,10.0,
1074008,9.0,
10782351,10.0,10.0
11144250,9.0,
10985735,9.0,
10742116,8.0,
11146498,10.0,
11488558,10.0,
11796483,8.0,0.0
1182475,9.0,
12220612,9.0,
12097507,9.0,
12462076,7.0,
1215226,8.0,
12288463,9.0,
12247516,9.0,
12896435,9.0,
12857841,9.0,8.333333333333332
13112091,9.0,
13272687,10.0,
13164714,9.0,
13696235,9.0,
13827870,10.0,
1413677,10.0,
14173253,9.0,8.333333333333332
14146422,10.0,10.0
14172532,9.0,
14294961,9.0,
14385513,10.0,10.0
14360913,10.0,10.0
1476508,10.0,
1503655,10.0,10.0
15417267,9.0,
1550449,9.0,7.5
1560753,10.0,10.0
15824730,10.0,
15963882,6.0,10.0
16060640,10.0,
1635900,10.0,
16155960,10.0,9.166666666666668
16214034,9.0,
16241397,9.0,4.375
1676806,10.0,10.0
170150,10.0,
1685970,10.0,
18157368,10.0,
18137446,10.0,8.666666666666668
17827642,9.0,
17897640,10.0,10.0
18954080,10.0,
18891380,10.0,
191079,9.0,
19244141,10.0,
19441009,5.0,
19559597,9.0,8.61111111111111
19585860,10.0,7.5
19800005,10.0,
2023934,8.0,
20399030,9.0,
20275415,10.0,
2073897,10.0,
20755043,10.0,
20726731,2.0,
21174788,9.0,9.166666666666668
21061587,10.0,10.0
20792560,9.0,
21155900,7.0,6.875
20672298,9.0,
2118641,9.0,
20701559,10.0,
21497042,10.0,10.0
2133967,10.0,
21526172,9.0,
21493665,10.0,9.5
21382912,7.0,
21816095,6.0,
21654414,9.0,8.333333333333332
21954331,10.0,7.5
21686582,10.0,10.0
22339946,8.0,
22624198,9.0,
23219274,10.0,10.0
22792908,10.0,
23177595,10.0,
23210868,9.0,
2338855,9.0,
23440490,10.0,
23298687,8.0,2.5
23482784,10.0,
23788201,10.0,
23755792,10.0,0.0
24492886,7.0,3.75
25134372,10.0,10.0
25069056,8.0,
24418052,10.0,8.75
24296834,9.0,
24505523,9.0,
25241699,10.0,10.0
24298167,10.0,7.619047619047619
25104214,6.0,
25082056,10.0,
251414,10.0,10.0
24845400,10.0,
24527330,10.0,
24755982,10.0,10.0
24829178,10.0,
24960259,9.0,
25239252,10.0,10.0
2432138,9.0,
25248977,10.0,
24652972,9.0,7.0
25277573,8.0,
2538085,10.0,10.0
25570581,7.0,9.0
25541515,10.0,
25484862,9.0,
25723457,10.0,8.75
25845370,10.0,10.0
25829784,9.0,
25819967,10.0,10.0
25881010,10.0,10.0
25794804,10.0,
25865052,9.0,
25956760,10.0,
26060837,9.0,
26103478,9.0,
26885396,9.0,
26925918,8.0,
27452326,2.0,0.0
27003273,7.0,
26701226,9.0,
26842020,10.0,
26712529,10.0,9.375
27154192,10.0,
26342532,9.0,
26405954,9.0,
27383511,6.0,3.75
26669415,8.0,5.0
26789870,10.0,
27226157,10.0,7.5
2682827,9.0,
27156997,10.0,
2724572,9.0,
27156355,9.0,7.727272727272727
28106504,10.0,
28153529,10.0,
28603723,10.0,10.0
28997335,8.0,10.0
28307606,10.0,10.0
290608,10.0,10.0
29274583,10.0,10.0
27675306,9.0,9.6875
27942191,10.0,10.0
29354797,10.0,
27569464,8.0,
28252566,9.0,
28475232,8.0,10.0
29673222,10.0,
28629954,7.0,
28881505,9.0,
29249672,9.0,8.0
28066479,10.0,
29144682,10.0,
27631138,10.0,
27794194,10.0,10.0
28911645,10.0,10.0
29358615,10.0,10.0
29432887,8.0,10.0
29562736,10.0,10.0
28378655,10.0,
293754,10.0,
27586912,10.0,10.0
28848228,9.0,5.833333333333334
28055051,10.0,7.5
28214469,8.0,10.0
29110619,10.0,10.0
27523761,10.0,
27791633,10.0,
27873052,10.0,7.5
28197193,9.0,0.0
28432923,8.0,
29078967,10.0,8.75
29508303,10.0,10.0
29877023,10.0,10.0
28159180,9.0,
28506996,8.0,
28508345,8.0,0.0
28690892,10.0,
28714609,6.0,
29456207,8.0,10.0
28250649,8.0,5.416666666666666
2856208,10.0,
28833727,10.0,
27781404,10.0,
30261334,10.0,
30194213,9.0,8.333333333333332
30671405,10.0,7.5
30087365,9.0,
30361820,10.0,5.833333333333334
30259670,10.0,0.0
30222713,8.0,2.5
30242109,10.0,10.0
30973353,10.0,0.0
30921897,9.0,8.125
30876582,10.0,5.0
30978373,10.0,0.0
31507104,9.0,6.25
32008854,10.0,10.0
31125186,6.0,
3102202,9.0,
31036628,10.0,10.0
31644399,10.0,10.0
31208538,10.0,10.0
31819664,10.0,
31053412,10.0,
31167868,10.0,10.0
32174629,10.0,10.0
3237666,9.0,
3301571,10.0,
34177,9.0,
3335550,8.0,10.0
3410502,10.0,10.0
3355353,10.0,
3383677,9.0,
3503965,8.0,
3494585,9.0,
3517150,10.0,
3632907,9.0,
3640004,9.0,
3602073,10.0,
4049958,9.0,
3517568,10.0,
4057320,10.0,
4241384,9.0,
4272447,8.0,
4144356,9.0,
4181852,10.0,
5020358,8.0,
516720,10.0,
4740503,9.0,
507117,10.0,
555588,9.0,
4450120,10.0,
5883037,10.0,
4870358,9.0,
4826466,10.0,
5361777,10.0,
4846619,10.0,10.0
575662,10.0,
5170796,9.0,
4573398,9.0,
469638,10.0,
4940063,8.0,
5186683,10.0,7.5
536526,9.0,
5357380,10.0,
5451782,9.0,
5551051,10.0,
5574192,9.0,
5716802,9.0,
5555181,10.0,7.5
6068649,10.0,
6105504,10.0,
6081771,10.0,
6485067,8.0,
6264804,10.0,
6345295,10.0,
6288998,10.0,
6214138,10.0,
645976,10.0,
6486593,9.0,
6242962,9.0,7.749999999999999
6447205,10.0,
6534803,10.0,10.0
6627075,9.0,6.875
6708622,10.0,
6774703,10.0,
6807419,10.0,
6944286,9.0,
7014635,7.0,
7276469,10.0,
7322621,9.0,
7418073,8.0,
7543508,9.0,
7427199,9.0,9.5
745923,8.0,
744242,9.0,
7918194,8.0,
7958920,8.0,
8301532,10.0,
8246966,10.0,
836433,9.0,
8463872,10.0,
8662829,9.0,
8746817,8.0,
8863253,9.0,
9326847,9.0,
9444630,10.0,
9672507,8.0,
961596,9.0,
9799412,10.0,
