Params,f1,F1_Score,Accuracy,Recall
"{'alpha': 0.1, 'fit_prior': True}",0.9792761373324034,0.9792761373324034,0.9796248934356351,0.9880570409982175
"{'alpha': 1e-08, 'fit_prior': True}",0.979096492569791,0.979096492569791,0.9795822676896846,0.9819964349376115
"{'alpha': 0.0001, 'fit_prior': True}",0.979096492569791,0.979096492569791,0.9795822676896846,0.9819964349376115
"{'alpha': 0.25, 'fit_prior': True}",0.9764628380996667,0.9764628380996667,0.9767263427109973,0.9880570409982175
"{'alpha': 0.1, 'fit_prior': False}",0.9735720375106565,0.9735720375106565,0.9737425404944586,0.9880570409982175
"{'alpha': 1e-08, 'fit_prior': False}",0.9733923927480441,0.9733923927480441,0.9736999147485081,0.9819964349376115
"{'alpha': 0.0001, 'fit_prior': False}",0.9733923927480441,0.9733923927480441,0.9736999147485081,0.9819964349376115
"{'alpha': 0.5, 'fit_prior': True}",0.9707524852900278,0.9707524852900278,0.9708866155157715,0.9880570409982175
"{'alpha': 0.75, 'fit_prior': True}",0.9707524852900278,0.9707524852900278,0.9708866155157715,0.9880570409982175
"{'alpha': 1.0, 'fit_prior': True}",0.9704953493402553,0.9704953493402553,0.9708866155157716,0.9819964349376115
"{'alpha': 0.25, 'fit_prior': False}",0.9680306905370843,0.9680306905370843,0.9679028132992327,0.9880570409982175
"{'alpha': 2.0, 'fit_prior': True}",0.9675102747133895,0.9675102747133895,0.9679454390451834,0.9819964349376115
"{'alpha': 0.5, 'fit_prior': False}",0.9652149555474363,0.9652149555474363,0.965004262574595,0.9880570409982175
"{'alpha': 2.0, 'fit_prior': False}",0.9649541114304254,0.9649541114304254,0.9649616368286444,0.9878787878787879
"{'alpha': 0.75, 'fit_prior': False}",0.9622298809205706,0.9622298809205706,0.9620630861040068,0.9880570409982175
"{'alpha': 1.0, 'fit_prior': False}",0.9622298809205706,0.9622298809205706,0.9620630861040068,0.9880570409982175
