Params,f1,F1_Score,Accuracy,Recall
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9568070409982175,0.9591661314447439,0.9592497868712704,0.9592497868712704
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9533377325289092,0.9562824517523335,0.9563938618925831,0.9563938618925831
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.9477591728337998,0.9504215768199045,0.9505115089514067,0.9505115089514067
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9470838580052592,0.9503856868542858,0.9505115089514067,0.9505115089514067
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9396160124028977,0.9444341597284094,0.9447144075021313,0.9447144075021313
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.9353455934612652,0.9386744917569526,0.9387894288150044,0.9387894288150044
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.9343616976561127,0.9386145210032095,0.9388320545609549,0.9388320545609549
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9289289876789877,0.9329477323758567,0.93307757885763,0.93307757885763
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9280347127061137,0.9327927584328783,0.932992327365729,0.932992327365729
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9279427337895079,0.9328506604008213,0.93307757885763,0.93307757885763
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.9247510698256967,0.929785910319923,0.930093776641091,0.930093776641091
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.923369282214401,0.9296676705298237,0.9300937766410913,0.9300937766410913
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9204120610572224,0.9267840639634638,0.9271952259164534,0.9271952259164534
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9171897729115095,0.9262700703453067,0.9273657289002557,0.9273657289002557
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9166166837199992,0.923752917596258,0.9242966751918159,0.9242966751918159
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9159165424739196,0.9236815817510436,0.9242966751918157,0.9242966751918157
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9138912798981101,0.9209186115471077,0.9214407502131288,0.9214407502131288
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9133491035229533,0.9208634526377413,0.9213554987212275,0.9213554987212275
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.9133443851125606,0.920918159194849,0.9214833759590795,0.9214833759590795
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.910373772402461,0.9179373099425924,0.918542199488491,0.918542199488491
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.908290812259156,0.9176453226515312,0.91845694799659,0.91845694799659
